29,Pelagic fish (< 30 cm),0,0.019,,,,,,,,0.156,,,0.407,,0.389,0.02,,,0.05,,0.117,,0.009,0.007,0.0859,0.003,,0.03,0.375,,0.432,,,0.404,0.066,0
30,Juvenile large pelagic fish,0,0.001,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,0.025,0.1148,0.001,0.045,0.0009,0
31,Pelagic fish (> 30 cm),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,0.001,0.011,,0
32,Demersal sharks and rays,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
33,Pelagic sharks and rays,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.009,,,,,0
34,Seabirds,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
35,Pinnipeds,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
36,Other mammals,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
37,Marine turtles,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
38,Detritus,0.3,0,1,0.2,0.594,0.609,0.4,0.534,0.33,,,,,,,,,,,,,0.101,0.042,,0.029,,,0.073,0.002,,,0.003,,,,0
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,1,1,1,0.99947,1,1,1,1,1,1,1,0.999,0.999,0.999,1.0003,0.9992,0.9999,0.9998,1.0002,1,1,1.0006,0.9997,0.9991,1.0011,1.0002,1,1.0003,0.9996,0
,1-Sum,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0.001,0.001,0.001,-0.0003,0.0008,1.00E-04,0.0002,-0.0002,0,0,-0.0006,0.0003,0.0009,-0.0011,-0.0002,0,-0.0003,0.0004,1
